BOURBLE | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BOURBON AND BRANCH | 2 ounces bourbon + 4 ounces bottled water | Pour the bourbon and water into a highball glass almost filled with ice cubes. | Highball Glass
BOURBON BLACK HAWK | 2 ounces bourbon + 1 maraschino cherry + 1 ounce sloe gin | In a mixing glass half-filled with ice cubes, combine the bourbon and sloe gin. Stir and strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
BOURBON BLACK HAWK #2 | 2 ounces bourbon + 1 teaspoon superfine sugar + 1/2 ounce sloe gin + 1 ounce lemon juice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the bourbon, sloe gin, lemon juice, and sugar. Shake well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
BOURBON COBBLER I | 1 1/2 teaspoons superfine sugar + 1 maraschino cherry + 1 orange slice + 3 ounces club soda + 1 lemon slice + Crushed ice + 2 1/2 ounces blended bourbon | In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the bourbon and stir well. Garnish with the cherry and orange and lemon slices. | Old-Fashioned Glass
BOURBON COBBLER II | 1 teaspoon superfine sugar + 2 ounces bourbon + 3 ounces club soda + Crushed ice + 1 strawberry + 1 lime wedge + 1 pineapple wedge | In a large wine glass, dissolve the sugar in the club soda. Almost fill the glass with crushed ice. Add the bourbon. Garnish with the strawberry and the lime and pineapple wedges. | Wine Glass
BOURBON COOLER | 2 ounces bourbon + 1 lemon wedge + 4 ounces lemon-lime soda | Pour the bourbon and the soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon wedge. | Highball Glass
BOURBON COUNTY COWBOY | 2 ounces bourbon + 1/2 ounce light cream | In a shaker half-filled with ice cubes, combine the bourbon and cream. Shake well. Strain into a cocktail glass. | Cocktail Glass
BOURBON CRUSTA | 1 tablespoon superfine sugar + 1 lemon wedge + Peel of 1 orange, cut into a spiral + 2 teaspoons maraschino liqueur + Crushed ice + 1/2 ounce lemon juice + 1 1/2 ounces bourbon + 1/2 ounce Cointreau or triple sec | Place the sugar in a saucer. Rub the rim of a wine goblet with the lemon wedge and dip the glass into the sugar to coat the rim thoroughly; discard the lemon wedge. Place the orange peel spiral into the goblet and drape one end over the rim of the glass. Fill the glass with crushed ice. In a shaker half-filled with ice cubes, combine the bourbon, Cointreau, maraschino liqueur, and lemon juice. Shake well. Strain into the goblet. | Goblet
BOURBON DAISY | 2 ounces bourbon + 1 orange slice + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon grenadine + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, grenadine, and sugar. Shake well. Pour into an old-fashioned glass. Garnish with the orange slice and the cherry. | Old-Fashioned Glass
BOURBON FIX | 1 teaspoon superfine sugar + Crushed ice + 2 ounces bourbon + 1 ounce lemon juice + 1 maraschino cherry + 2 teaspoons water + 1 lemon slice | In a shaker half-filled with ice cubes, combine the sugar, lemon juice, and water. Shake well. Strain into a highball glass almost filled with crushed ice. Add the bourbon. Stir well and garnish with the cherry and the lemon slice. | Highball Glass
